date,Cooler,Heater,Drive 1 started,Sync signal from S10-2991 (DOUT1 Cooler),Command Drive speed Drive 1,Actual Speed Drive 1,Current Propotional Coil Pump 1,Pressure Drain filter 1,Pressure B-side Pump 1,Temp Drain Pump 1,Displacement Pump 1,Current Electric motor 1,Pressure A-side Pump 1,Temp Drain line from Hydraulic motor 1 in tank 1,Temp Oil tank 1,Temp Hydraulic out Cooler 1,Temp Hydraulic in Cooler 1,Pressure Hydraulic in Cooler 1,Temp Drain Hydraulic motor 1,Pressure House Hydraulic motor 1,Temp A-side loop Hydraulic motor 1,Pressure Charge Pump 1,Temp C-side loop Hydraulic motor 1,Temp Ambient Outside power unit
2013-09-09 00:19:00,0,0,0,0,0,0,0,16.942600193,9.0604027202,17.0995660941,0.065155962,0,0.0469745088,16.7619991302,17.8005077136,12.684986969,11.3506042996,0,13.8299999237,0,13.9611555947,0,13.6992245359,11.8999996185
2013-09-09 00:20:00,0,0,0,0,0,0,0,17.0299001471,9.056853016,17.0991327604,0.1043333359,0,0.0482995633,16.7099990845,17.8404993916,12.8847231562,11.3877684587,0,13.8299999237,0,13.9640926343,0,13.7021270839,11.8926524383
2013-09-09 00:21:00,0,0,0,0,0,0,0,16.9795001189,9.0581323506,17.0988141326,0.0769657919,0,0.0522708525,16.7099990845,17.8994996166,12.7522889059,11.3599955537,0,13.8299999237,0,13.9634185597,0,13.6999998093,11.8190139708
2013-09-09 00:22:00,0,0,0,0,0,0,0,17.0297500292,9.0636561298,17.0992847213,0.0573971759,0,0.0564074524,16.7099990845,17.8999996185,12.8895104868,11.3624597679,0,13.8299999237,0,13.9595955933,0,13.7006498098,11.8000001907
2013-09-09 00:23:00,0,0,0,0,0,0,0,16.9697502454,9.0624389881,17.0951480902,0.0609239081,0,0.0542462575,16.7099990845,17.8609855808,12.7676740247,11.3805829275,0,13.7812498808,0,13.9622494341,0,13.6999998093,11.8000001907
2013-09-09 00:24:00,0,0,0,0,0,0,0,17.0470000744,9.0526469022,17.0987702045,0.0801640772,0,0.0572413595,16.6647743273,17.8006797952,12.8430798154,11.3628125007,0,13.7881689866,0,13.962073146,0,13.6999998093,11.8000001907
2013-09-09 00:25:00,0,0,0,0,0,0,0,16.9855001767,9.0602928157,17.0928133104,0.0522379478,0,0.0621111102,16.7099990845,17.7999992371,12.7110201987,11.3433627083,0,13.7836474498,0,13.9601745753,0,13.6993498087,11.8000001907
2013-09-09 00:26:00,0,0,0,0,0,0,0,17.0310001426,9.0600877361,17.0782637399,0.0661718978,0,0.0677565801,16.7099990845,17.7999992371,12.6084016887,11.3713697999,0,13.8299999237,0,13.9597930009,0,13.7002598095,11.8000001907
2013-09-09 00:27:00,0,0,0,0,0,0,0,16.9310001797,9.0586332774,17.0982917617,0.0645729302,0,0.0541589734,16.5914209219,17.7999992371,12.6705477411,11.3578983675,0,13.8299999237,0,13.9596533712,0,13.7000648093,11.8000001907
2013-09-09 00:28:00,0,0,0,0,0,0,0,16.9570001443,9.0670996185,17.0862194157,0.0806055848,0,0.0444333325,16.7084278922,17.8390132748,12.6981913815,11.3697165163,0,13.7925598907,0,13.9600000381,0,13.6990248084,11.8000001907
2013-09-09 00:29:00,0,0,0,0,0,0,0,16.8535001755,9.060347879,17.0122060172,0.0795940414,0,0.0480666658,16.7099990845,17.8596437678,12.6427829216,11.3704107101,0,13.6952334618,0,13.9576167027,0,13.6945057568,11.8000001907
2013-09-09 00:30:00,0,0,0,0,0,0,0,16.9570001443,9.0611828782,16.9699993134,0.0804000025,0,0.0373933325,16.7099990845,17.8403439311,12.7299995422,11.3509095682,0,13.7307355236,0,13.9596630008,0,13.6992917729,11.8000001907
2013-09-09 00:31:00,0,0,0,0,0,0,0,16.9007502556,9.0609938654,16.9699993134,0.0637423937,0,0.0423827075,16.7099990845,17.8603161794,12.7624808003,11.3541918645,0,13.6940963424,0,13.9596870749,0,13.6894379944,11.8000001907
